entry_id,pidgin_text,english_gloss,sentiment,emotion_category,emotion_secondary,register,sarcasm_flag,prosody_match,annotator_notes,topic_domain,speaker_gender,intensity,source_type,date_added
WZ-T-0001,How you dey?,How are you?,neutral,neutral,,casual,no,matched,Standard Lagos greeting,greeting,neutral,1,original,2026-04-23
WZ-T-0002,How body?,How are you feeling?,neutral,neutral,,casual,no,matched,More intimate than how you dey,greeting,neutral,1,original,2026-04-23
WZ-T-0003,You don chop?,Have you eaten?,neutral,neutral,,casual,no,matched,Care expression very common,food,neutral,1,original,2026-04-23
WZ-T-0004,You don try,Well done — sincere,positive,joy,,casual,no,matched,Sincere warm praise,social,neutral,1,original,2026-04-23
WZ-T-0005,You don try oh,You really did well,positive,joy,,casual,no,matched,Oh increases sincerity and warmth,social,neutral,2,original,2026-04-23
WZ-T-0006,You don try well well,You did extremely well — sincere,positive,celebration,,casual,no,matched,Intensifier doubles sincere praise,social,neutral,3,original,2026-04-23
WZ-T-0007,You don try well well,You think you did well? — sarcastic,negative,sarcasm,,street,yes,contradicts,Speaker sensed prior deceit or failure — same phrase opposite meaning,social,neutral,3,original,2026-04-23
WZ-T-0008,You don really try,You genuinely did well,positive,celebration,,casual,no,matched,Really as sincere intensifier,social,neutral,2,original,2026-04-23
WZ-T-0009,E don do abeg,I've had enough please — exhaustion,negative,hustle_fatigue,,casual,no,matched,Exhaustion and resignation,emotion,neutral,2,original,2026-04-23
WZ-T-0010,E don do,That's enough — stop quantity,neutral,neutral,,casual,no,matched,Stopping someone from adding too much — food money quantity etc,life,neutral,1,original,2026-04-23
WZ-T-0011,E don do,It's okay — consoling someone crying,neutral,neutral,,casual,no,matched,Consoling someone upset or crying — gentle and warm,emotion,neutral,1,original,2026-04-23
WZ-T-0012,E don do,Stop it — breaking up a fight,negative,anger,,street,no,matched,Commanding someone to stop fighting or arguing,conflict,neutral,3,original,2026-04-23
WZ-T-0013,E don do,Enough explanation — cut it short,neutral,neutral,,casual,no,matched,Cutting off excessive talking or explanation,social,neutral,1,original,2026-04-23
WZ-T-0014,Omo e hard o,Wow it's really difficult,negative,hustle_fatigue,,casual,no,matched,Acknowledging struggle,emotion,neutral,2,original,2026-04-23
WZ-T-0015,I no fit shout,I can't be bothered,negative,hustle_fatigue,,street,no,matched,Too tired to react,emotion,neutral,2,original,2026-04-23
WZ-T-0016,Heat dey do me,The heat is getting to me,negative,hustle_fatigue,,casual,no,matched,Mild heat complaint,life,neutral,1,original,2026-04-23
WZ-T-0017,Heat wan wound me,This heat is really bad,negative,hustle_fatigue,,street,no,matched,Dramatic intensification,life,neutral,2,original,2026-04-23
WZ-T-0018,Heat wan kill me,This heat is absolutely unbearable,negative,hustle_fatigue,,street,no,matched,Peak dramatic expression,life,neutral,3,original,2026-04-23
WZ-T-0019,Na God o,It's God's doing,positive,prayer_gratitude,,casual,no,matched,Gratitude expression,faith,neutral,1,original,2026-04-23
WZ-T-0020,God don butter my bread,God has blessed me,positive,prayer_gratitude,,casual,no,matched,Gratitude for breakthrough,faith,neutral,2,original,2026-04-23
WZ-T-0021,You too dey form,You're acting too cool/fake,negative,forming,,street,no,matched,Calling out pretension,social,neutral,2,original,2026-04-23
WZ-T-0022,You well at all?,Are you okay at all?,negative,anger,,casual,no,matched,Mild rebuke and disbelief,social,neutral,2,original,2026-04-23
WZ-T-0023,Wahala dey o,There's trouble/drama,negative,anger,,casual,no,matched,Warning of incoming problem,social,neutral,2,original,2026-04-23
WZ-T-0024,Wetin you mean?,What do you mean?,negative,suspicion,,casual,no,matched,Challenging someone's statement,social,neutral,2,original,2026-04-23
WZ-T-0025,This man sef,Ugh this man,negative,anger,,casual,no,matched,Standalone exasperation — complete thought,social,neutral,2,original,2026-04-23
WZ-T-0026,This man eh,Ugh this man,negative,anger,,casual,no,matched,Same meaning as this man sef — different expression,social,neutral,2,original,2026-04-23
WZ-T-0027,This boy dey gba,This boy is smelling,negative,anger,,street,no,matched,Direct social judgment about body odour,social,neutral,2,original,2026-04-23
WZ-T-0028,You never lock door,You haven't locked the door,neutral,neutral,,casual,no,matched,Plain reminder no emotional charge,life,neutral,1,original,2026-04-23
WZ-T-0029,You never lock door oh,You still haven't locked the door,neutral,neutral,,casual,no,matched,Emotion escalates to anger depending on tone — see prosody,life,neutral,2,original,2026-04-23
WZ-T-0030,Ordinary water he no get,He doesn't even have basic water,negative,shock,betrayal,street,no,matched,Shock at complete unpreparedness — betrayal also present,social,neutral,3,original,2026-04-23
WZ-T-0031,You just dey come Lagos?,Are you new to Lagos? — genuine,neutral,neutral,,casual,no,matched,Genuine question to newcomer,social,neutral,1,original,2026-04-23
WZ-T-0032,You just dey come Lagos?,You clearly don't know Lagos — mockery,negative,sarcasm,,street,yes,contradicts,Mockery of naivety — speaker still in Lagos context,social,neutral,2,original,2026-04-23
WZ-T-0033,Abeg leave matter,Please drop the topic,negative,hustle_fatigue,,casual,no,matched,Dismissal tired of subject,emotion,neutral,2,original,2026-04-23
WZ-T-0034,E be things,That's just how it is,neutral,neutral,,casual,no,matched,Resignation and acceptance,life,neutral,1,original,2026-04-23
WZ-T-0035,I dey kampe,I'm doing very well,positive,joy,,casual,no,matched,Strong positive state,greeting,neutral,1,original,2026-04-23
WZ-T-0036,Wetin dey happen?,What's going on?,neutral,neutral,,casual,no,matched,General check-in,social,neutral,1,original,2026-04-23
WZ-T-0037,We move!,We're moving forward!,positive,celebration,,street,no,matched,Hype and motivation phrase,motivation,neutral,3,original,2026-04-23
WZ-T-0038,Dem never see anything,They haven't seen anything yet,positive,pride,,street,no,matched,Confidence and swagger,motivation,neutral,2,original,2026-04-23
WZ-T-0039,No dulling we move,No slacking let's go,positive,celebration,,street,no,matched,Motivational push,motivation,neutral,3,original,2026-04-23
WZ-T-0040,E sweet me die,I enjoyed it so much,positive,joy,,street,no,matched,Intense enjoyment,emotion,neutral,2,original,2026-04-23
WZ-T-0041,You wan go market?,Do you want to go to the market?,neutral,neutral,,casual,no,matched,Simple question no emotional charge,life,neutral,1,original,2026-04-23
WZ-T-0042,Abi now,You agree right? — seeking confirmation,neutral,neutral,,casual,no,matched,Seeking agreement or validation from listener,social,neutral,1,original,2026-04-23
WZ-T-0043,You this person,You this person — frustrated,negative,anger,,casual,no,matched,Real frustration and irritation — not playful,social,neutral,2,original,2026-04-23
WZ-T-0044,E be like say,It seems like — realization,neutral,neutral,,casual,no,matched,Realization version — speaker just figured something out,social,neutral,1,original,2026-04-23
WZ-T-0045,E be like say,It seems like — doubt,negative,suspicion,,casual,no,matched,Doubt version — speaker not convinced,social,neutral,2,original,2026-04-23
