entry_id,pidgin_text,english_gloss,sentiment,emotion_category,emotion_secondary,register,sarcasm_flag,prosody_match,annotator_notes,topic_domain,speaker_gender,intensity,source_type,date_added,model_input,predicted_sentiment,sentiment_confidence
WZ-T-0005,You don try oh,You really did well,positive,joy,,casual,no,matched,Oh increases sincerity and warmth,social,neutral,2,original,2026-04-23,[EMOTION: joy] You don try oh,positive,0.9999
WZ-T-0006,You don try well well,You did extremely well — sincere,positive,celebration,,casual,no,matched,Intensifier doubles sincere praise,social,neutral,3,original,2026-04-23,[EMOTION: celebration] You don try well well,positive,0.9999
WZ-T-0007,You don try well well,You think you did well? — sarcastic,negative,sarcasm,,street,yes,contradicts,Speaker sensed prior deceit or failure — same phrase opposite meaning,social,neutral,3,original,2026-04-23,[EMOTION: sarcasm] You don try well well,negative,0.9998
WZ-T-0012,E don do,Stop it — breaking up a fight,negative,anger,,street,no,matched,Commanding someone to stop fighting or arguing,conflict,neutral,3,original,2026-04-23,[EMOTION: anger] E don do,negative,0.9999
WZ-T-0018,Heat wan kill me,This heat is absolutely unbearable,negative,hustle_fatigue,,street,no,matched,Peak dramatic expression,life,neutral,3,original,2026-04-23,[EMOTION: hustle_fatigue] Heat wan kill me,negative,0.9983
WZ-T-0022,You well at all?,Are you okay at all?,negative,anger,,casual,no,matched,Mild rebuke and disbelief,social,neutral,2,original,2026-04-23,[EMOTION: anger] You well at all?,negative,0.9999
WZ-T-0024,Wetin you mean?,What do you mean?,negative,suspicion,,casual,no,matched,Challenging someone's statement,social,neutral,2,original,2026-04-23,[EMOTION: suspicion] Wetin you mean?,negative,0.9924
WZ-T-0029,You never lock door oh,You still haven't locked the door,neutral,neutral,,casual,no,matched,Emotion escalates to anger depending on tone — see prosody,life,neutral,2,original,2026-04-23,[EMOTION: neutral] You never lock door oh,neutral,0.9999
WZ-T-0030,Ordinary water he no get,He doesn't even have basic water,negative,shock,betrayal,street,no,matched,Shock at complete unpreparedness — betrayal also present,social,neutral,3,original,2026-04-23,[EMOTION: shock] Ordinary water he no get,negative,0.9999
WZ-T-0032,You just dey come Lagos?,You clearly don't know Lagos — mockery,negative,sarcasm,,street,yes,contradicts,Mockery of naivety — speaker still in Lagos context,social,neutral,2,original,2026-04-23,[EMOTION: sarcasm] You just dey come Lagos?,negative,0.9998
WZ-T-0037,We move!,We're moving forward!,positive,celebration,,street,no,matched,Hype and motivation phrase,motivation,neutral,3,original,2026-04-23,[EMOTION: celebration] We move!,positive,0.9999
WZ-T-0039,No dulling we move,No slacking let's go,positive,celebration,,street,no,matched,Motivational push,motivation,neutral,3,original,2026-04-23,[EMOTION: celebration] No dulling we move,positive,0.9999
WZ-T-0040,E sweet me die,I enjoyed it so much,positive,joy,,street,no,matched,Intense enjoyment,emotion,neutral,2,original,2026-04-23,[EMOTION: joy] E sweet me die,positive,0.9999
WZ-T-0045,E be like say,It seems like — doubt,negative,suspicion,,casual,no,matched,Doubt version — speaker not convinced,social,neutral,2,original,2026-04-23,[EMOTION: suspicion] E be like say,negative,0.9985
WZ-T-0047,See your life,Look at the state of you,negative,neutral,,street,no,matched,Pure mockery — no affectionate version,social,neutral,2,original,2026-04-23,[EMOTION: neutral] See your life,neutral,0.9985
WZ-T-0049,Shine your eye,Be alert — warning of danger or deceit,negative,suspicion,,street,no,matched,Warning for deceitful cunning unpredictable or risky situations,social,neutral,2,original,2026-04-23,[EMOTION: suspicion] Shine your eye,negative,0.9559
WZ-T-0050,Shine your eye well well,Be very alert — strong warning,negative,suspicion,,street,no,matched,Intensified version — situation is seriously risky or dangerous,social,neutral,3,original,2026-04-23,[EMOTION: suspicion] Shine your eye well well,negative,0.9991
WZ-T-0052,Allawee don show,Allowance has arrived,positive,celebration,,casual,no,matched,Joy at receiving allowance,money,neutral,2,original,2026-04-23,[EMOTION: celebration] Allawee don show,positive,0.9999
WZ-T-0053,Salary don show,Salary has arrived,positive,celebration,,casual,no,matched,Joy at receiving salary,money,neutral,3,original,2026-04-23,[EMOTION: celebration] Salary don show,positive,0.9999
WZ-T-0057,Sapa,Poverty — I am broke,negative,hustle_fatigue,,street,no,matched,Standalone sapa — more intense — I AM the poverty,money,neutral,3,original,2026-04-23,[EMOTION: hustle_fatigue] Sapa,negative,0.9969
WZ-T-0059,Comot money for me now?,Give me a discount,neutral,market_energy,,casual,no,matched,Requesting discount — direct ask,money,neutral,1,original,2026-04-23,[EMOTION: market_energy] Comot money for me now?,neutral,0.9999
WZ-T-0060,No charge me oh,Don't give me an expensive price,negative,market_energy,,casual,no,matched,Requesting not to be overcharged — mild plea,money,neutral,1,original,2026-04-23,[EMOTION: market_energy] No charge me oh,negative,0.9999
WZ-T-0061,You too cost,You are too expensive,negative,market_energy,,street,no,matched,Frustration at high price of person or thing,money,neutral,2,original,2026-04-23,[EMOTION: market_energy] You too cost,negative,0.9999
WZ-T-0062,E cost oh,It's expensive,negative,market_energy,,casual,no,matched,General complaint about price,money,neutral,2,original,2026-04-23,[EMOTION: market_energy] E cost oh,negative,0.9998
WZ-T-0068,Credit alert dey hungry me,I really want to get a credit alert,negative,craving,,street,no,matched,Intense longing for money to land in account,money,neutral,3,original,2026-04-23,[EMOTION: craving] Credit alert dey hungry me,negative,0.9998
WZ-T-0069,I never get alert,I haven't received an alert yet,negative,craving,,casual,no,matched,Waiting anxiously for payment to arrive,money,neutral,2,original,2026-04-23,[EMOTION: craving] I never get alert,negative,0.9994
WZ-T-0070,You no go comot money for me?,Won't you give me a discount?,negative,suspicion,,casual,no,matched,Pleading with frustration — rhetorical discount request,money,neutral,2,original,2026-04-23,[EMOTION: suspicion] You no go comot money for me?,negative,0.9993
WZ-T-0073,Your price fit kill persin,Your price can kill someone,negative,market_energy,,street,no,matched,Rhetorical frustration at extremely high price,money,neutral,3,original,2026-04-23,[EMOTION: market_energy] Your price fit kill persin,negative,0.9996
WZ-T-0074,Persin no fit buy market from your hand oh?,Someone can't buy something from you oh,negative,market_energy,,street,no,matched,Rhetorical frustration — prices too high for anyone to afford,money,neutral,3,original,2026-04-23,[EMOTION: market_energy] Persin no fit buy market from your hand oh?,negative,0.9999
WZ-T-0075,No send me go village oh,Don't make me broke,negative,suspicion,,street,no,matched,Warning not to drain someone financially,money,neutral,2,original,2026-04-23,[EMOTION: suspicion] No send me go village oh,negative,0.996
WZ-T-0085,I no fit buy am that price,I can't buy it at that price,negative,market_energy,,casual,no,matched,Price negotiation — rejecting current price,money,neutral,2,original,2026-04-23,[EMOTION: market_energy] I no fit buy am that price,negative,0.9999
WZ-T-0090,Where my money dey?,Where is my money?,negative,anger,,casual,no,matched,Demanding owed money — escalated,money,neutral,3,original,2026-04-23,[EMOTION: anger] Where my money dey?,negative,0.9998
WZ-T-0091,E don enter my account,It has entered my account,positive,celebration,,casual,no,matched,Joy at money landing — alert received,money,neutral,3,original,2026-04-23,[EMOTION: celebration] E don enter my account,positive,0.9999
